Year,Month,Day,MJD,UT1R-TAI
2013,9,9,56544.0,-35.07687388590763
2013,9,10,56545.0,-35.07738990586519
2013,9,11,56546.0,-35.077912527019244
2013,9,12,56547.0,-35.07843838313475
2013,9,13,56548.0,-35.07896393025403
2013,9,14,56549.0,-35.07947167985179
2013,9,15,56550.0,-35.080001144018304
2013,9,16,56551.0,-35.08060725938323
2013,9,17,56552.0,-35.08124485698746
2013,9,18,56553.0,-35.0818926228591
2013,9,19,56554.0,-35.08257912148849
2013,9,20,56555.0,-35.083272662802685
2013,9,21,56556.0,-35.08392742811341
2013,9,22,56557.0,-35.08457714799446
2013,9,23,56558.0,-35.085288974344564
2013,9,24,56559.0,-35.08608853350466
2013,9,25,56560.0,-35.08695381722282
2013,9,26,56561.0,-35.08782977517343
2013,9,27,56562.0,-35.0886937924715
2013,9,28,56563.0,-35.08948280803723
2013,9,29,56564.0,-35.09022051343115
2013,9,30,56565.0,-35.090988093732484
2013,10,1,56566.0,-35.09179551308378
2013,10,2,56567.0,-35.092585576866256
2013,10,3,56568.0,-35.09332937125123
2013,10,4,56569.0,-35.09404945856322
2013,10,5,56570.0,-35.094801304904585
2013,10,6,56571.0,-35.09561329530701
2013,10,7,56572.0,-35.09647718507
2013,10,8,56573.0,-35.09738998993009
2013,10,9,56574.0,-35.09833942971569
2013,10,10,56575.0,-35.09931200997074
2013,10,11,56576.0,-35.100287061343444
2013,10,12,56577.0,-35.10124827897226
2013,10,13,56578.0,-35.10216072161656
2013,10,14,56579.0,-35.10302975660518
2013,10,15,56580.0,-35.10393280845599
2013,10,16,56581.0,-35.10489713745715
2013,10,17,56582.0,-35.105855492397865
2013,10,18,56583.0,-35.10679824528906
2013,10,19,56584.0,-35.10774716205996
2013,10,20,56585.0,-35.10868673780998
2013,10,21,56586.0,-35.109590529708996
2013,10,22,56587.0,-35.11047124239776
2013,10,23,56588.0,-35.111370260208126
2013,10,24,56589.0,-35.11232596723134
2013,10,25,56590.0,-35.11334899454244
2013,10,26,56591.0,-35.11442412762714
2013,10,27,56592.0,-35.115544415063994
2013,10,28,56593.0,-35.116716296749836
2013,10,29,56594.0,-35.11792894671736
2013,10,30,56595.0,-35.1191498694955
2013,10,31,56596.0,-35.12030846404269
2013,11,1,56597.0,-35.12136179646733
2013,11,2,56598.0,-35.1223897485999
2013,11,3,56599.0,-35.12343282649282
2013,11,4,56600.0,-35.12451015286176
2013,11,5,56601.0,-35.125623212268
2013,11,6,56602.0,-35.12675438380791
2013,11,7,56603.0,-35.12786672860424
2013,11,8,56604.0,-35.12893774992239
2013,11,9,56605.0,-35.12994662105112
2013,11,10,56606.0,-35.13091159812707
2013,11,11,56607.0,-35.13188647932679
2013,11,12,56608.0,-35.1329035313322
2013,11,13,56609.0,-35.133972727748954
2013,11,14,56610.0,-35.1351015397261
2013,11,15,56611.0,-35.13619666713494
2013,11,16,56612.0,-35.137275762642034
2013,11,17,56613.0,-35.13839185324857
2013,11,18,56614.0,-35.139551777732265
2013,11,19,56615.0,-35.14073975151977
2013,11,20,56616.0,-35.141934071688645
