Year,Month,Day,MJD,HAM_ms
1977,11,9,43456,0.26945694
1977,11,10,43457,0.26995323
1977,11,11,43458,0.26985397
1977,11,12,43459,0.26967539
1977,11,13,43460,0.27045145
1977,11,14,43461,0.27021257
1977,11,15,43462,0.27036601
1977,11,16,43463,0.27054379
1977,11,17,43464,0.27118445
1977,11,18,43465,0.27107816
1977,11,19,43466,0.27100589
1977,11,20,43467,0.27237736
1977,11,21,43468,0.27402197
1977,11,22,43469,0.27471145
1977,11,23,43470,0.27456006
1977,11,24,43471,0.27586474
1977,11,25,43472,0.27623146
1977,11,26,43473,0.27627944
1977,11,27,43474,0.27754315
1977,11,28,43475,0.27968624
1977,11,29,43476,0.28164273
1977,11,30,43477,0.28318333
1977,12,1,43478,0.28290477
1977,12,2,43479,0.28203999
1977,12,3,43480,0.28054385
1977,12,4,43481,0.27869198
1977,12,5,43482,0.27782450
1977,12,6,43483,0.27812033
1977,12,7,43484,0.27876526
1977,12,8,43485,0.27999310
1977,12,9,43486,0.28129527
1977,12,10,43487,0.28334336
1977,12,11,43488,0.28543730
1977,12,12,43489,0.28669502
1977,12,13,43490,0.28852502
1977,12,14,43491,0.29060712
1977,12,15,43492,0.29231068
1977,12,16,43493,0.29347794
1977,12,17,43494,0.29380021
1977,12,18,43495,0.29572846
1977,12,19,43496,0.29707319
1977,12,20,43497,0.29820165
1977,12,21,43498,0.30023262
1977,12,22,43499,0.30097199
1977,12,23,43500,0.30293603
1977,12,24,43501,0.30577295
1977,12,25,43502,0.30609540
1977,12,26,43503,0.30630031
1977,12,27,43504,0.30892940
1977,12,28,43505,0.31091576
1977,12,29,43506,0.31219357
1977,12,30,43507,0.31294230
1977,12,31,43508,0.31400525
1978,1,1,43509,0.31460949
1978,1,2,43510,0.31510397
1978,1,3,43511,0.31508598
1978,1,4,43512,0.31505099
1978,1,5,43513,0.31634343
1978,1,6,43514,0.31643575
1978,1,7,43515,0.31685071
1978,1,8,43516,0.31886578
1978,1,9,43517,0.32091595
1978,1,10,43518,0.32267835
1978,1,11,43519,0.32501226
1978,1,12,43520,0.32762595
1978,1,13,43521,0.32735547
1978,1,14,43522,0.32666428
1978,1,15,43523,0.32735933
1978,1,16,43524,0.32984568
