Year,Month,Day,MJD,SLAM_ms
1977,2,14,43188,-0.21051221
1977,2,15,43189,-0.20544499
1977,2,16,43190,-0.18443207
1977,2,17,43191,-0.17220439
1977,2,18,43192,-0.17768288
1977,2,19,43193,-0.18063312
1977,2,20,43194,-0.19213042
1977,2,21,43195,-0.20635511
1977,2,22,43196,-0.21781152
1977,2,23,43197,-0.22748455
1977,2,24,43198,-0.22432866
1977,2,25,43199,-0.21606653
1977,2,26,43200,-0.21767940
1977,2,27,43201,-0.22697405
1977,2,28,43202,-0.22337632
1977,3,1,43203,-0.22534516
1977,3,2,43204,-0.23863027
1977,3,3,43205,-0.23868956
1977,3,4,43206,-0.23416615
1977,3,5,43207,-0.23502904
1977,3,6,43208,-0.23188620
1977,3,7,43209,-0.22503575
1977,3,8,43210,-0.23309520
1977,3,9,43211,-0.23936402
1977,3,10,43212,-0.24314974
1977,3,11,43213,-0.25202863
1977,3,12,43214,-0.25356389
1977,3,13,43215,-0.24263018
1977,3,14,43216,-0.23909104
1977,3,15,43217,-0.25750560
1977,3,16,43218,-0.27118867
1977,3,17,43219,-0.27340548
1977,3,18,43220,-0.25684024
1977,3,19,43221,-0.23713533
1977,3,20,43222,-0.24220660
1977,3,21,43223,-0.25104004
1977,3,22,43224,-0.24838152
1977,3,23,43225,-0.24426464
1977,3,24,43226,-0.24614957
1977,3,25,43227,-0.25003669
1977,3,26,43228,-0.24455566
1977,3,27,43229,-0.23110805
1977,3,28,43230,-0.22335060
1977,3,29,43231,-0.22692229
1977,3,30,43232,-0.23893842
1977,3,31,43233,-0.25056824
1977,4,1,43234,-0.26581116
1977,4,2,43235,-0.27644115
1977,4,3,43236,-0.27329283
1977,4,4,43237,-0.26593803
1977,4,5,43238,-0.26305817
1977,4,6,43239,-0.26679630
1977,4,7,43240,-0.25936590
1977,4,8,43241,-0.25638703
1977,4,9,43242,-0.27046963
1977,4,10,43243,-0.27897170
1977,4,11,43244,-0.28432852
1977,4,12,43245,-0.29082105
1977,4,13,43246,-0.28932388
1977,4,14,43247,-0.28746673
1977,4,15,43248,-0.28898878
1977,4,16,43249,-0.29476750
1977,4,17,43250,-0.29331205
1977,4,18,43251,-0.28581633
1977,4,19,43252,-0.28889270
1977,4,20,43253,-0.28310861
1977,4,21,43254,-0.26484808
1977,4,22,43255,-0.25967881
1977,4,23,43256,-0.26595385
1977,4,24,43257,-0.27720247
1977,4,25,43258,-0.29761094
1977,4,26,43259,-0.30952343
1977,4,27,43260,-0.29875503
1977,4,28,43261,-0.27855809
1977,4,29,43262,-0.26933287
1977,4,30,43263,-0.27047111
1977,5,1,43264,-0.27575314
1977,5,2,43265,-0.27903307
1977,5,3,43266,-0.26498900
1977,5,4,43267,-0.23252541
1977,5,5,43268,-0.20983641
1977,5,6,43269,-0.22076476
1977,5,7,43270,-0.24609566
1977,5,8,43271,-0.26358731
1977,5,9,43272,-0.27326307
1977,5,10,43273,-0.27467574
1977,5,11,43274,-0.28547403
1977,5,12,43275,-0.29235562
1977,5,13,43276,-0.28472921
1977,5,14,43277,-0.28243776
1977,5,15,43278,-0.28583051
1977,5,16,43279,-0.27840934
1977,5,17,43280,-0.25646748
1977,5,18,43281,-0.22965313
1977,5,19,43282,-0.21995987
1977,5,20,43283,-0.23061591
1977,5,21,43284,-0.22264222
1977,5,22,43285,-0.21111085
1977,5,23,43286,-0.22086898
1977,5,24,43287,-0.23785007
1977,5,25,43288,-0.23875917
1977,5,26,43289,-0.23838543
1977,5,27,43290,-0.23595774
1977,5,28,43291,-0.23090060
1977,5,29,43292,-0.22093960
1977,5,30,43293,-0.21075367
1977,5,31,43294,-0.21610222
1977,6,1,43295,-0.22914172
1977,6,2,43296,-0.23336301
1977,6,3,43297,-0.22698555
1977,6,4,43298,-0.21640164
1977,6,5,43299,-0.19879024
1977,6,6,43300,-0.19730561
1977,6,7,43301,-0.20969179
1977,6,8,43302,-0.21644130
1977,6,9,43303,-0.22477171
1977,6,10,43304,-0.23281486
1977,6,11,43305,-0.23101340
1977,6,12,43306,-0.22423952
1977,6,13,43307,-0.22832800
1977,6,14,43308,-0.23258494
1977,6,15,43309,-0.22033578
1977,6,16,43310,-0.20883569
1977,6,17,43311,-0.20624914
1977,6,18,43312,-0.19759704
1977,6,19,43313,-0.17111761
1977,6,20,43314,-0.14308155
1977,6,21,43315,-0.12728459
1977,6,22,43316,-0.12802648
1977,6,23,43317,-0.13376838
