Year,Month,Day,MJD,OAM_ms
1977,8,22,43377,0.02454400
1977,8,23,43378,0.01485885
1977,8,24,43379,0.03645489
1977,8,25,43380,0.03121813
1977,8,26,43381,0.04746394
1977,8,27,43382,0.04285737
1977,8,28,43383,0.00878527
1977,8,29,43384,-0.00053674
1977,8,30,43385,-0.01068962
1977,8,31,43386,-0.02337239
1977,9,1,43387,-0.02472275
1977,9,2,43388,0.00341149
1977,9,3,43389,0.00943564
1977,9,4,43390,0.00694165
1977,9,5,43391,-0.01082372
1977,9,6,43392,0.02472425
1977,9,7,43393,0.03418253
1977,9,8,43394,0.00356823
1977,9,9,43395,-0.04752357
1977,9,10,43396,-0.04460794
1977,9,11,43397,-0.04604585
1977,9,12,43398,-0.01876329
1977,9,13,43399,-0.02361123
1977,9,14,43400,-0.02397329
1977,9,15,43401,-0.05532725
1977,9,16,43402,-0.02505737
1977,9,17,43403,-0.00560905
1977,9,18,43404,-0.00982744
1977,9,19,43405,-0.00202624
1977,9,20,43406,-0.01684802
1977,9,21,43407,0.01828969
1977,9,22,43408,-0.00361391
1977,9,23,43409,-0.04235751
1977,9,24,43410,-0.02347215
1977,9,25,43411,0.01430268
1977,9,26,43412,-0.00097040
1977,9,27,43413,-0.01152990
1977,9,28,43414,-0.01982809
1977,9,29,43415,-0.00652893
1977,9,30,43416,-0.00406916
1977,10,1,43417,0.01566126
1977,10,2,43418,0.01437678
1977,10,3,43419,0.00223476
1977,10,4,43420,-0.02226867
1977,10,5,43421,0.01466201
1977,10,6,43422,0.00906409
1977,10,7,43423,-0.03414276
1977,10,8,43424,-0.01357326
1977,10,9,43425,-0.02024327
1977,10,10,43426,-0.02873197
1977,10,11,43427,-0.00785785
1977,10,12,43428,0.02149398
1977,10,13,43429,-0.01043845
1977,10,14,43430,-0.01405123
1977,10,15,43431,-0.03762100
1977,10,16,43432,0.00006470
1977,10,17,43433,-0.02040739
1977,10,18,43434,-0.02381983
1977,10,19,43435,-0.01159983
1977,10,20,43436,0.02010238
1977,10,21,43437,0.00579883
1977,10,22,43438,0.00010087
1977,10,23,43439,-0.00576498
1977,10,24,43440,-0.02710246
1977,10,25,43441,-0.02526960
1977,10,26,43442,-0.02986923
1977,10,27,43443,-0.01395281
1977,10,28,43444,-0.03947600
1977,10,29,43445,-0.02451827
1977,10,30,43446,-0.02040247
1977,10,31,43447,-0.04224144
1977,11,1,43448,-0.01838830
1977,11,2,43449,-0.01875765
1977,11,3,43450,0.00932603
1977,11,4,43451,-0.01438213
1977,11,5,43452,-0.02932149
1977,11,6,43453,-0.04826624
1977,11,7,43454,-0.02451485
1977,11,8,43455,-0.02959531
1977,11,9,43456,-0.04819683
1977,11,10,43457,-0.05297024
1977,11,11,43458,-0.05924575
1977,11,12,43459,-0.02551533
1977,11,13,43460,0.02486262
1977,11,14,43461,0.02164942
1977,11,15,43462,0.00974586
1977,11,16,43463,-0.01860309
1977,11,17,43464,-0.05583292
1977,11,18,43465,-0.06524319
1977,11,19,43466,-0.05315218
1977,11,20,43467,-0.03732578
1977,11,21,43468,-0.01057062
1977,11,22,43469,-0.01400156
1977,11,23,43470,-0.03410402
1977,11,24,43471,-0.01349999
1977,11,25,43472,-0.00588849
1977,11,26,43473,-0.03636487
1977,11,27,43474,-0.05361465
1977,11,28,43475,-0.06135061
1977,11,29,43476,-0.02126523
1977,11,30,43477,-0.04988339
1977,12,1,43478,-0.04651962
1977,12,2,43479,-0.07320706
1977,12,3,43480,-0.08787591
1977,12,4,43481,-0.08137113
1977,12,5,43482,-0.08560788
1977,12,6,43483,-0.10385159
1977,12,7,43484,-0.07184555
1977,12,8,43485,-0.05999079
1977,12,9,43486,-0.02720232
1977,12,10,43487,-0.03261978
1977,12,11,43488,-0.04814440
1977,12,12,43489,-0.01197002
1977,12,13,43490,0.03244288
1977,12,14,43491,0.03662702
1977,12,15,43492,0.00455330
1977,12,16,43493,-0.02137575
1977,12,17,43494,-0.03906886
1977,12,18,43495,-0.04841677
1977,12,19,43496,-0.04044004
1977,12,20,43497,-0.00563127
1977,12,21,43498,-0.02923087
1977,12,22,43499,-0.00274538
1977,12,23,43500,0.02058239
1977,12,24,43501,0.00926437
1977,12,25,43502,-0.01222929
1977,12,26,43503,-0.04733974
1977,12,27,43504,-0.00316565
1977,12,28,43505,0.00199543
1977,12,29,43506,0.01332391
1977,12,30,43507,-0.01008814
1977,12,31,43508,0.02649598
1978,1,1,43509,-0.01091381
1978,1,2,43510,-0.01375893
1978,1,3,43511,-0.01236837
1978,1,4,43512,-0.02773331
1978,1,5,43513,-0.00595329
1978,1,6,43514,-0.02908753
1978,1,7,43515,-0.00322071
1978,1,8,43516,-0.00211778
1978,1,9,43517,-0.02088249
1978,1,10,43518,-0.01140854
1978,1,11,43519,0.02523903
1978,1,12,43520,0.00105042
1978,1,13,43521,-0.02062828
1978,1,14,43522,-0.04908029
1978,1,15,43523,-0.04480225
1978,1,16,43524,-0.01286527
1978,1,17,43525,-0.00781094
1978,1,18,43526,-0.00118350
1978,1,19,43527,-0.05120211
1978,1,20,43528,-0.06531854
1978,1,21,43529,-0.06594825
1978,1,22,43530,-0.06639106
1978,1,23,43531,-0.05171955
1978,1,24,43532,-0.04945394
1978,1,25,43533,-0.02703155
1978,1,26,43534,0.01681090
1978,1,27,43535,-0.00864845
1978,1,28,43536,-0.00887100
1978,1,29,43537,-0.01361239
1978,1,30,43538,-0.00879879
1978,1,31,43539,-0.02502319
1978,2,1,43540,-0.04320781
1978,2,2,43541,-0.03662461
1978,2,3,43542,-0.03535210
1978,2,4,43543,-0.01492570
1978,2,5,43544,0.01193268
1978,2,6,43545,0.02536932
1978,2,7,43546,0.01633307
1978,2,8,43547,-0.01735020
1978,2,9,43548,-0.03222282
1978,2,10,43549,-0.04132869
1978,2,11,43550,-0.06070835
1978,2,12,43551,-0.00509599
1978,2,13,43552,0.00990971
1978,2,14,43553,0.01955662
1978,2,15,43554,0.01085038
1978,2,16,43555,0.01185156
1978,2,17,43556,0.05430275
1978,2,18,43557,0.05829321
1978,2,19,43558,0.01986152
1978,2,20,43559,0.03770291
1978,2,21,43560,0.00200916
1978,2,22,43561,-0.04233973
1978,2,23,43562,-0.00896658
1978,2,24,43563,-0.00878557
1978,2,25,43564,0.04414885
1978,2,26,43565,0.05703535
1978,2,27,43566,-0.00267927
1978,2,28,43567,0.01557754
1978,3,1,43568,-0.02470739
1978,3,2,43569,-0.03860390
1978,3,3,43570,-0.01973346
