Year,Month,Day,MJD,AAM_ms
1977,1,31,43174,-0.07517271
1977,2,1,43175,-0.08593105
1977,2,2,43176,-0.15127650
1977,2,3,43177,-0.15584636
1977,2,4,43178,-0.14290061
1977,2,5,43179,-0.11096934
1977,2,6,43180,-0.05859363
1977,2,7,43181,-0.04225265
1977,2,8,43182,-0.03467049
1977,2,9,43183,0.02457654
1977,2,10,43184,-0.04230923
1977,2,11,43185,-0.00091791
1977,2,12,43186,0.02474288
1977,2,13,43187,0.03736822
1977,2,14,43188,0.02459228
1977,2,15,43189,0.08337067
1977,2,16,43190,0.11715177
1977,2,17,43191,0.13566563
1977,2,18,43192,0.13523962
1977,2,19,43193,0.09957489
1977,2,20,43194,0.17368672
1977,2,21,43195,0.17756771
1977,2,22,43196,0.17312122
1977,2,23,43197,0.13336555
1977,2,24,43198,0.03950677
1977,2,25,43199,0.05545884
1977,2,26,43200,0.05904764
1977,2,27,43201,0.06690806
1977,2,28,43202,0.03568443
1977,3,1,43203,-0.02670564
1977,3,2,43204,-0.03570085
1977,3,3,43205,0.00673924
1977,3,4,43206,0.09792051
1977,3,5,43207,0.12657587
1977,3,6,43208,0.13558714
1977,3,7,43209,0.13577774
1977,3,8,43210,0.18535999
1977,3,9,43211,0.19499519
1977,3,10,43212,0.22234542
1977,3,11,43213,0.18390121
1977,3,12,43214,0.23142488
1977,3,13,43215,0.20671190
1977,3,14,43216,0.18300573
1977,3,15,43217,0.15237144
1977,3,16,43218,0.10922018
1977,3,17,43219,0.14732606
1977,3,18,43220,0.17079125
1977,3,19,43221,0.20501976
1977,3,20,43222,0.25169720
1977,3,21,43223,0.26943680
1977,3,22,43224,0.23665492
1977,3,23,43225,0.33067897
1977,3,24,43226,0.46062112
1977,3,25,43227,0.46062807
1977,3,26,43228,0.48789123
1977,3,27,43229,0.46248126
1977,3,28,43230,0.40820846
1977,3,29,43231,0.32454456
1977,3,30,43232,0.24998362
1977,3,31,43233,0.25092604
1977,4,1,43234,0.24243587
1977,4,2,43235,0.24362494
1977,4,3,43236,0.25769299
1977,4,4,43237,0.19772454
1977,4,5,43238,0.14994190
1977,4,6,43239,0.23311265
1977,4,7,43240,0.27352511
1977,4,8,43241,0.28918239
1977,4,9,43242,0.28706815
1977,4,10,43243,0.29909886
1977,4,11,43244,0.29079622
1977,4,12,43245,0.34104438
1977,4,13,43246,0.37487921
1977,4,14,43247,0.39813120
1977,4,15,43248,0.42609961
1977,4,16,43249,0.45467677
1977,4,17,43250,0.47575000
1977,4,18,43251,0.48553383
1977,4,19,43252,0.45724048
1977,4,20,43253,0.43923730
1977,4,21,43254,0.45172259
1977,4,22,43255,0.44951636
1977,4,23,43256,0.44236047
1977,4,24,43257,0.50273570
1977,4,25,43258,0.49833013
1977,4,26,43259,0.48720420
1977,4,27,43260,0.47644166
1977,4,28,43261,0.42746369
1977,4,29,43262,0.45155654
1977,4,30,43263,0.37326530
1977,5,1,43264,0.35584688
1977,5,2,43265,0.37154296
1977,5,3,43266,0.35317328
1977,5,4,43267,0.30993967
1977,5,5,43268,0.28676728
1977,5,6,43269,0.31914513
1977,5,7,43270,0.32037585
1977,5,8,43271,0.35479613
1977,5,9,43272,0.34948944
1977,5,10,43273,0.36663613
1977,5,11,43274,0.40806096
1977,5,12,43275,0.40632884
1977,5,13,43276,0.42717501
1977,5,14,43277,0.42088845
1977,5,15,43278,0.39876183
1977,5,16,43279,0.28841509
1977,5,17,43280,0.26638717
1977,5,18,43281,0.25112514
1977,5,19,43282,0.21049112
1977,5,20,43283,0.21705842
1977,5,21,43284,0.18759135
1977,5,22,43285,0.16073294
1977,5,23,43286,0.17904261
1977,5,24,43287,0.20907363
1977,5,25,43288,0.15978111
1977,5,26,43289,0.11638136
1977,5,27,43290,0.13643751
1977,5,28,43291,0.11240011
1977,5,29,43292,0.04835403
1977,5,30,43293,0.03376431
1977,5,31,43294,-0.00883397
1977,6,1,43295,-0.07181472
1977,6,2,43296,-0.13624935
1977,6,3,43297,-0.15431118
1977,6,4,43298,-0.17713996
1977,6,5,43299,-0.16479810
1977,6,6,43300,-0.14953259
1977,6,7,43301,-0.13788678
1977,6,8,43302,-0.16859143
1977,6,9,43303,-0.19419607
1977,6,10,43304,-0.22132773
1977,6,11,43305,-0.23208114
1977,6,12,43306,-0.28876779
1977,6,13,43307,-0.28900651
1977,6,14,43308,-0.30467500
1977,6,15,43309,-0.32352197
1977,6,16,43310,-0.32788539
1977,6,17,43311,-0.28471311
1977,6,18,43312,-0.31667055
1977,6,19,43313,-0.32428099
1977,6,20,43314,-0.34079564
1977,6,21,43315,-0.36093217
1977,6,22,43316,-0.35250821
1977,6,23,43317,-0.30977758
1977,6,24,43318,-0.30014442
1977,6,25,43319,-0.27237818
1977,6,26,43320,-0.28196177
1977,6,27,43321,-0.34187876
1977,6,28,43322,-0.41770196
1977,6,29,43323,-0.45929599
1977,6,30,43324,-0.52521886
1977,7,1,43325,-0.54169227
1977,7,2,43326,-0.69661410
1977,7,3,43327,-0.75533045
1977,7,4,43328,-0.73760032
1977,7,5,43329,-0.71704731
1977,7,6,43330,-0.71815147
1977,7,7,43331,-0.69612649
1977,7,8,43332,-0.75300557
1977,7,9,43333,-0.77356579
1977,7,10,43334,-0.76375740
1977,7,11,43335,-0.73279950
1977,7,12,43336,-0.74532902
1977,7,13,43337,-0.74732627
1977,7,14,43338,-0.74702826
1977,7,15,43339,-0.76905601
1977,7,16,43340,-0.78304796
1977,7,17,43341,-0.68521185
1977,7,18,43342,-0.59800307
1977,7,19,43343,-0.50619450
1977,7,20,43344,-0.50251793
1977,7,21,43345,-0.51010651
1977,7,22,43346,-0.49937199
1977,7,23,43347,-0.50753713
1977,7,24,43348,-0.52622464
1977,7,25,43349,-0.50730669
1977,7,26,43350,-0.52861585
1977,7,27,43351,-0.56662783
1977,7,28,43352,-0.56915553
1977,7,29,43353,-0.58746159
1977,7,30,43354,-0.59963710
1977,7,31,43355,-0.64212004
1977,8,1,43356,-0.68010914
1977,8,2,43357,-0.70050409
1977,8,3,43358,-0.68591375
1977,8,4,43359,-0.68236156
1977,8,5,43360,-0.66250816
1977,8,6,43361,-0.69863270
1977,8,7,43362,-0.75292790
1977,8,8,43363,-0.82397362
1977,8,9,43364,-0.77021266
1977,8,10,43365,-0.73525974
1977,8,11,43366,-0.79388690
1977,8,12,43367,-0.81971848
1977,8,13,43368,-0.79095572
1977,8,14,43369,-0.78775829
1977,8,15,43370,-0.72191577
1977,8,16,43371,-0.72694029
1977,8,17,43372,-0.68668788
1977,8,18,43373,-0.68244349
1977,8,19,43374,-0.61927881
1977,8,20,43375,-0.56420543
1977,8,21,43376,-0.61561209
1977,8,22,43377,-0.62829833
1977,8,23,43378,-0.61143331
1977,8,24,43379,-0.58285761
1977,8,25,43380,-0.56361665
1977,8,26,43381,-0.48785727
1977,8,27,43382,-0.44739557
1977,8,28,43383,-0.42553675
1977,8,29,43384,-0.44431383
1977,8,30,43385,-0.40625555
1977,8,31,43386,-0.38157349
1977,9,1,43387,-0.29024304
1977,9,2,43388,-0.21016923
1977,9,3,43389,-0.17644416
1977,9,4,43390,-0.12206275
1977,9,5,43391,-0.10432403
1977,9,6,43392,-0.04650975
1977,9,7,43393,-0.04576006
1977,9,8,43394,-0.01179409
1977,9,9,43395,-0.01205275
1977,9,10,43396,-0.01977481
1977,9,11,43397,-0.01507397
1977,9,12,43398,-0.05245202
1977,9,13,43399,-0.08296953
1977,9,14,43400,-0.14227073
1977,9,15,43401,-0.11702505
1977,9,16,43402,-0.14209325
1977,9,17,43403,-0.08682240
1977,9,18,43404,-0.10096665
1977,9,19,43405,-0.10344068
1977,9,20,43406,-0.07021574
1977,9,21,43407,-0.07565977
1977,9,22,43408,-0.12148032
1977,9,23,43409,-0.13572916
1977,9,24,43410,-0.05790580
1977,9,25,43411,-0.04030348
1977,9,26,43412,-0.02049764
1977,9,27,43413,-0.07007278
1977,9,28,43414,-0.03063058
1977,9,29,43415,-0.05014939
1977,9,30,43416,-0.06991036
1977,10,1,43417,-0.06682873
1977,10,2,43418,-0.00353897
1977,10,3,43419,0.00521163
1977,10,4,43420,0.01770405
1977,10,5,43421,0.01063068
1977,10,6,43422,0.05393115
1977,10,7,43423,0.07449370
1977,10,8,43424,0.03725656
1977,10,9,43425,0.06237938
1977,10,10,43426,0.06786273
1977,10,11,43427,0.15034447
1977,10,12,43428,0.18288207
1977,10,13,43429,0.24682698
1977,10,14,43430,0.22441135
1977,10,15,43431,0.19069272
1977,10,16,43432,0.20954976
1977,10,17,43433,0.27101384
1977,10,18,43434,0.31826418
1977,10,19,43435,0.35950003
1977,10,20,43436,0.42882347
1977,10,21,43437,0.45333020
1977,10,22,43438,0.52077223
1977,10,23,43439,0.48236386
1977,10,24,43440,0.47351678
1977,10,25,43441,0.38319244
1977,10,26,43442,0.31699771
1977,10,27,43443,0.34321853
1977,10,28,43444,0.35850274
1977,10,29,43445,0.36724571
1977,10,30,43446,0.33034800
1977,10,31,43447,0.32200919
1977,11,1,43448,0.31307293
1977,11,2,43449,0.29389468
1977,11,3,43450,0.32825472
1977,11,4,43451,0.37528235
1977,11,5,43452,0.37878662
1977,11,6,43453,0.35804043
1977,11,7,43454,0.33572080
1977,11,8,43455,0.27967433
1977,11,9,43456,0.25558262
1977,11,10,43457,0.26432384
1977,11,11,43458,0.27108078
1977,11,12,43459,0.33917344
1977,11,13,43460,0.33260396
1977,11,14,43461,0.37286834
1977,11,15,43462,0.43906109
1977,11,16,43463,0.45510073
1977,11,17,43464,0.43152595
1977,11,18,43465,0.46162096
1977,11,19,43466,0.44145328
1977,11,20,43467,0.43232707
1977,11,21,43468,0.46066486
1977,11,22,43469,0.43838024
1977,11,23,43470,0.45886031
1977,11,24,43471,0.45276290
1977,11,25,43472,0.43422223
1977,11,26,43473,0.47311670
1977,11,27,43474,0.42161307
1977,11,28,43475,0.37977708
1977,11,29,43476,0.36965108
1977,11,30,43477,0.40708282
1977,12,1,43478,0.38337655
1977,12,2,43479,0.43867010
1977,12,3,43480,0.41553984
1977,12,4,43481,0.37905151
1977,12,5,43482,0.34518331
1977,12,6,43483,0.35947065
1977,12,7,43484,0.41319523
1977,12,8,43485,0.49047583
1977,12,9,43486,0.52326002
1977,12,10,43487,0.55238194
1977,12,11,43488,0.58532168
1977,12,12,43489,0.61433966
1977,12,13,43490,0.56400967
1977,12,14,43491,0.54860855
1977,12,15,43492,0.56166439
1977,12,16,43493,0.60557381
1977,12,17,43494,0.56936882
1977,12,18,43495,0.61651618
1977,12,19,43496,0.60973573
1977,12,20,43497,0.64089317
1977,12,21,43498,0.72559831
1977,12,22,43499,0.79907520
1977,12,23,43500,0.85173344
1977,12,24,43501,0.85035408
1977,12,25,43502,0.90385325
1977,12,26,43503,0.81986960
1977,12,27,43504,0.73592392
1977,12,28,43505,0.73522710
1977,12,29,43506,0.68443606
1977,12,30,43507,0.63016603
1977,12,31,43508,0.59216367
1978,1,1,43509,0.61857755
1978,1,2,43510,0.67008474
1978,1,3,43511,0.67038682
1978,1,4,43512,0.72844264
1978,1,5,43513,0.74633838
1978,1,6,43514,0.71602601
1978,1,7,43515,0.64390042
1978,1,8,43516,0.64627549
1978,1,9,43517,0.68081965
1978,1,10,43518,0.75217405
1978,1,11,43519,0.70511547
1978,1,12,43520,0.61687130
1978,1,13,43521,0.51332445
1978,1,14,43522,0.39928986
1978,1,15,43523,0.27325755
1978,1,16,43524,0.24043058
1978,1,17,43525,0.23448728
1978,1,18,43526,0.23662398
1978,1,19,43527,0.23043957
1978,1,20,43528,0.27664245
1978,1,21,43529,0.31132935
1978,1,22,43530,0.35271705
1978,1,23,43531,0.38890249
1978,1,24,43532,0.39560344
1978,1,25,43533,0.32790844
1978,1,26,43534,0.30873821
1978,1,27,43535,0.34539488
1978,1,28,43536,0.36171580
1978,1,29,43537,0.38167573
1978,1,30,43538,0.40563441
1978,1,31,43539,0.39632501
1978,2,1,43540,0.47791293
1978,2,2,43541,0.50005760
1978,2,3,43542,0.53293321
1978,2,4,43543,0.55480122
1978,2,5,43544,0.62063280
1978,2,6,43545,0.74149590
1978,2,7,43546,0.76056288
1978,2,8,43547,0.75419067
1978,2,9,43548,0.73001658
1978,2,10,43549,0.75934428
1978,2,11,43550,0.74131997
1978,2,12,43551,0.74238341
1978,2,13,43552,0.74176293
1978,2,14,43553,0.79642507
1978,2,15,43554,0.77093094
1978,2,16,43555,0.73118534
1978,2,17,43556,0.80597671
1978,2,18,43557,0.82241238
1978,2,19,43558,0.88514313
1978,2,20,43559,0.90711079
1978,2,21,43560,0.86694910
1978,2,22,43561,0.85812151
1978,2,23,43562,0.86801518
1978,2,24,43563,0.86081771
1978,2,25,43564,0.79833650
1978,2,26,43565,0.79808031
1978,2,27,43566,0.84657256
1978,2,28,43567,0.81939836
